land_id,nickname,describe,share_users,range
9D3A77B59446,卡斯特中央银行驻西行州分行,"此领地属于 Ultroveritas中央委员会 合作社的公有领地
西行镇——璃海苏维埃总领事馆","Syndikaze, Qiyushishuji, Heinrich4084, HansarDeus, TohoYouyouMu, ForeverZzz2408, XmNyanCat, dfgzaomiao, Evan52661314, xiaoyuan129, GeeGBot, Luoxiyilian2313, haaamburger1996, RiverLight38454, GenunineColt568, Soviet Union614, LacyBarley63167, ALEX57152, Kaname Rana1597","(-543,60,81)→(-499,125,129)[主世界]"
77F230B14AD7,凋零骷髅塔[传送点],,,"(56544,-64,60176)→(56559,320,60199)[主世界]"
818A1EFA79B9,,,,"(3018,90,-2114)→(3020,121,-2094)[主世界]"
591980CD6B14,飞行点,,,"(-496,-64,92)→(-493,320,92)[主世界]"
F6BF0F6647E3,魔法小屋,,ImaoyueI,"(3970,60,-640)→(3999,70,-607)[主世界]"
746256E9FFF9,西行州工业基地【州联委员会总部】,"此领地属于 Ultroveritas中央委员会 合作社的公有领地
西行镇——西行镇管委会","TohoYouyouMu, Heinrich4084, Kaname Rana1597, ForeverZzz2408, Syndikaze, Qiyushishuji, HansarDeus, ImaoyueI, DoctorL06, XmNyanCat, [未知:2535444422073232], LacyBarley63167, dfgzaomiao, ALEX57152, haaamburger1996, [未知:2535453287059857], [未知:2535458075746856], GeeGBot, Evan52661314, xiaoyuan129, Nacho Cat China, Liqiu36, ShiftedChara449, [未知:2535422890699342], RiverLight38454","(-602,-64,-140)→(-498,320,60)[主世界]"
760494B5B75F,[小石社]试炼4,"此领地属于 卯月村供销合作社 合作社的公有领地
","ImaoyueI, MarIE7943, Mengyuan7544, kokorochan223, LingYingFox0, DoctorL06, Teaffee4438, Ocean12000, Big chicken8959, RiverLight38454, ZiMo0512, xize2333jun, AbsurdCase40986, xiakenana, Cattle99, Luoxiyilian2313, FangZhuBingMing, siri9V4458, Stone5koishi, LeaveSharkCat, palladio6674, GenunineColt568, JiuSi0414, DaNaiLong KING, Shiroha77, SteelBag8401029, mingzhouNB666, Exusiai5871, SolidComb522181, TohoYouyouMu, Stone9328, Carmen789321, TanMongR233","(9299,-16,50)→(9302,-12,53)[主世界]"
5382C5A17A32,,,,"(6591,63,-6671)→(6598,67,-6663)[主世界]"
170CFA19ADBC,红树林,这只是传送用的ˉ﹃ˉ,[未知:2535460817074170],"(-1415,71,-2250)→(-1415,73,-2247)[主世界]"
54dac3d0-cf72-4599-a16e-288afa00112f,小木屋,,,"(3087,77,2395)→(3104,87,2408)[主世界]"
D142828968EB,空岛（第3象限）,,"[未知:2535409442693219], Kaname Rana1597, bex4878","(1700,-64,2192)→(1860,320,2299)[主世界]"
FF4D22C27B4E,旅1,,,"(2243,-64,-6898)→(2243,320,-6895)[主世界]"
DEBD9D00511B,老六,,,"(4401,115,290)→(4422,116,305)[主世界]"
87D2E6FD6B6D,herobrine95035的领地,高能战斗场,,"(3697,-64,2909)→(3702,320,2913)[主世界]"
39707D0BA503,[樱树乡] 合作社 14,[樱树乡] 合作社 14,"[未知:2535439539737216], mengyaochenming, Nacho Cat China, Carmen789321","(2928,-64,1648)→(3071,320,1759)[主世界]"
B687E9C8B417,[卯月村供销合作社] 海底神殿,"此领地属于 卯月村供销合作社 合作社的公有领地
海底神殿","Teaffee4438, ougenduqin, ImaoyueI, MarIE7943, Mengyuan7544, kokorochan223, LingYingFox0, DoctorL06, Ocean12000, Big chicken8959, RiverLight38454, ZiMo0512, xize2333jun, AbsurdCase40986, xiakenana, Cattle99, Luoxiyilian2313, FangZhuBingMing, siri9V4458, Stone5koishi, LeaveSharkCat, palladio6674, GenunineColt568, JiuSi0414, DaNaiLong KING, Shiroha77, SteelBag8401029, mingzhouNB666, Exusiai5871, SolidComb522181, Stone9328, Carmen789321, TanMongR233","(871,62,-6538)→(874,64,-6535)[主世界]"
237E8F2D3DF7,防空塔,,"ImaoyueI, [未知:2535414821585066], GeeGBot, ForeverZzz2408","(4106,63,-1200)→(4200,102,-1106)[主世界]"
7C46CE8108E6,[安普建工] 东北博物馆,"此领地属于 安普建工 合作社的公有领地
东北博物馆",RiverLight38454,"(3237,-64,-2060)→(3349,320,-1999)[主世界]"
B1A2830A57C1,玛莉的随便一个领地,,"ImaoyueI, [未知:2535411716292234]","(-708,121,-8695)→(-702,125,-8689)[主世界]"
695281390C11,Site-CN-06 Area-9,,Soviet Union614,"(3088,-64,-112)→(3247,320,47)[主世界]"
4899511E0B64,,,,"(800,-64,3536)→(959,320,3695)[主世界]"
73C608BADDDD,,,ImaoyueI,"(3903,293,-612)→(3934,298,-597)[主世界]"
B167FFCD70DA,[MyGO!!!!!]快乐老家,[MyGO!!!!!] [MyGO!!!!!] 快乐老家[主世界],,"(208,-64,880)→(367,320,1039)[主世界]"
1E00F26D47EC,洞穴,,,"(4299,108,625)→(4300,110,628)[主世界]"
E25C6F565A27,KFC,,,"(1922,93,827)→(1923,94,828)[主世界]"
D713B970E880,北方新岛开发区 东部,,"ShiftedChara449, GeeGBot, LacyBarley63167, ALEX57152, RiverLight38454, LeiXiaoX, Heinrich4084, TohoYouyouMu, HansarDeus, dfgzaomiao, Syndikaze","(-55,-64,-1056)→(72,320,-858)[主世界]"
F2F6973CF533,● 圣理教§u堂 ●,,"[未知:2535432240394504], AntimatterCorp, Soviet Union614, MarIE7943, DoctorL06, xiakenana, Cattle99, dfgzaomiao, Luoxiyilian2313, HuoHua7777, ImaoyueI, SteelBag8401029, GenunineColt568, [未知:2535409442693219], Kaname Rana1597","(-2741,-64,-2060)→(-2670,320,-2020)[主世界]"
075A3547D5BD,凯尔希的根据地,"此领地属于 便利屋68 合作社的公有领地
凯尔希的根据地",,"(2101,-64,4617)→(2110,320,4626)[主世界]"
48310BC3D924,,,,"(-9166,63,7888)→(-9165,64,7889)[主世界]"
347B21D84E3C,僵尸刷怪笼,,[未知:2535462613164805],"(2978,-31,5202)→(2979,-30,5203)[主世界]"
388FA5260BFD,Ultroveritas驻犬明湖大使馆,"此领地属于 Ultroveritas中央委员会 合作社的公有领地
","Qiyushishuji, TohoYouyouMu, Heinrich4084, ForeverZzz2408, Syndikaze, HansarDeus, XmNyanCat","(2792,40,2342)→(2935,87,2470)[主世界]"
68D5B2125657,,,,"(3496,94,5158)→(3507,95,5172)[主世界]"
FABCF280297D,herobrine95035的家,这是我的家，大家可以随便瞅瞅。（但不能设置home）,,"(3694,-64,2683)→(3715,320,2704)[主世界]"
CA8817C3D8E5,洩矢神社,Stage EX   愉悦的日本神明,"coke6263, ImaoyueI, Stone5koishi, ShiftedChara449, Kelsey3410, CommetWind, ougenduqin","(-3867,63,-1659)→(-3760,123,-1636)[主世界]"
932B4A878BEC,❤️,被发现了被发现了被发现了被发现了被发现了被发现了被发现了被发现了被发现了被发现了被发现了被发现了被发现了被发现了被发现了被发现了被发现了被发现了被发现了被发现了被发现了被发现了被发现了被发现了被发,ImaoyueI,"(3661,-64,-743)→(3683,320,-722)[主世界]"
7233964EC56D,豪宅,,"htdl19083669, [未知:2535409442693219], Kaname Rana1597, JiuSi0414, [未知:2535461462345824], [未知:2535435408222217], ALEX57152","(-242,90,1841)→(-84,200,1999)[主世界]"
b4862e43-0c97-4a1d-bf35-11f85c6ba3c1,天然形成爱心湖（五星景点）,,,"(3321,56,2755)→(3340,68,2789)[主世界]"
36942417BDE4,,,,"(6608,-26,-6701)→(6613,-25,-6699)[主世界]"
1FFFD43B04A8,玛莉的麦当当,,"ImaoyueI, [未知:2535411716292234], [未知:2535464158898895], Qiyushishuji, DoctorL06","(3605,66,-754)→(3623,71,-735)[主世界]"
E20BAA8E2107,可爱路灯,,,"(3571,64,2729)→(3580,82,2740)[主世界]"
DC408A9659E6,猪人塔,,,"(-104,-64,-2312)→(4,320,-2246)[主世界]"
6646B5904139,★蝾螈温泉公主专用客房★,,,"(3446,87,1767)→(3465,91,1780)[主世界]"
655EA1CA6DE0,要塞,,,"(617,60,-282)→(637,62,-278)[下界]"
7749F4C44216,神sese,,[未知:2535412120333053],"(3342,-64,980)→(3452,320,1141)[主世界]"
13598C4F14B0,[樱树乡] 合作社 7,[樱树乡] 合作社 7,"[未知:2535439539737216], mengyaochenming, Nacho Cat China, Carmen789321","(3008,-64,1952)→(3055,320,2031)[主世界]"
61ABDA2F8644,地下浆果,,,"(2209,-64,4031)→(2293,320,4090)[主世界]"
6769001F715B,[玫瑰岛共和国] 合作社 南方无名小岛-西北,[玫瑰岛共和国] 合作社 南方无名小岛-西北,"SayojiKoishi, wtouou, TabooAttic15546, mih00him","(-283,-64,1564)→(-208,320,1664)[主世界]"
01A50517B253,三个生怪砖,,,"(-4862,-45,5213)→(-4861,-44,5215)[主世界]"
AFB4E2A5E468,[星之猫猫商业圈] 合作社 猫猫快捷旅店,[星之猫猫商业圈] 合作社 猫猫快捷旅店,StarFaith2007,"(3390,63,2773)→(3403,110,2792)[主世界]"
83D9F18035A6,末地中转站3,,,"(25388,101,23414)→(25393,104,23420)[末地]"
F78BFEC4021F,[白玉楼协会] 合作社 农田,"此领地属于 白玉楼协会 合作社的公有领地
农田","youyouzi115, NeiGuiYYDS, DoctorL06, PLR458, E761113, ShiftedChara449, TKxiao yi, Dissenotfind, qinfeng8523, Ocean12000, Shiroha77, ImaoyueI","(1926,62,4497)→(1942,63,4527)[主世界]"
E2CD66AE5ADE,夜雀食堂,夜雀食堂,,"(3430,63,2798)→(3453,73,2815)[主世界]"
4C723BE68A62,初音未来,,[未知:2535435408222217],"(-506,66,75)→(-504,67,77)[主世界]"
492239A41A67,[樱树乡] 合作社 26,[樱树乡] 合作社 26,"Nacho Cat China, Carmen789321","(3184,-64,1640)→(3256,320,1739)[主世界]"
AD4475C3A537,[樱树乡] 合作社 12,[樱树乡] 合作社 12,"[未知:2535439539737216], mengyaochenming, Nacho Cat China, Carmen789321","(3008,-64,1760)→(3055,320,1823)[主世界]"
EB3DEEA40A1E,,,[未知:2535411716292234],"(-3781,-64,-2983)→(-3719,320,-2933)[主世界]"
8B4EC0B5E16A,非常高级的高手的高级的基地,,[未知:2535434185141840],"(-261,56,38)→(-202,75,57)[主世界]"
440E5E9B984D,[樱树乡] 合作社 3,[樱树乡] 合作社 3,"[未知:2535439539737216], mengyaochenming, Nacho Cat China, Carmen789321, Kaname Rana1597","(2832,-64,1824)→(2927,320,1871)[主世界]"
9B297DF91156,部落,,htdl19083669,"(-2835,71,-3007)→(-2833,72,-3005)[主世界]"
ed1bb822-9d20-4b3e-96fb-df465b701917,箱子,,,"(-1733,61,-1901)→(-1719,70,-1884)[主世界]"
6714B74E8784,[山卡拉之地] 刷线和骨头,"此领地属于 山卡拉之地 合作社的公有领地
刷线和骨头",,"(2474,-64,-635)→(2504,320,-608)[主世界]"
772A4DADA1B4,祭坛,,,"(3743,65,1737)→(3756,72,1751)[主世界]"
3A82942C1A21,[玫瑰岛共和国] 合作社 南方的无名小岛-西南,[玫瑰岛共和国] 合作社 南方的无名小岛-西南,"SayojiKoishi, wtouou, TabooAttic15546, mih00him","(-283,-64,1665)→(-207,320,1720)[主世界]"
319CD6952048,,,,"(320,-64,4176)→(479,320,4335)[主世界]"
b3879dd3-2ea4-4e37-a84d-64c57e03c3b8,信标,,,"(2771,-64,2043)→(2777,320,2049)[主世界]"
6D30ACB6114D,As的小窝,,[未知:2535412684834496],"(3183,61,2573)→(3288,71,2620)[主世界]"
41A447E0D726,宝箱,寻宝－不破坏,,"(-127,70,-77)→(-99,84,-70)[主世界]"
AD34BD933D58,新璃岛 东部群岛,,"dfgzaomiao, Evan52661314, GeeGBot, RiverLight38454, [未知:2535458075746856], xiaoyuan129, TohoYouyouMu, ShiftedChara449, LacyBarley63167, Heinrich4084, [未知:2535422890699342]","(292,-64,1962)→(405,320,2121)[主世界]"
74BF7096DE55,[樱树乡] 合作社 20,[樱树乡] 合作社 20,"[未知:2535439539737216], mengyaochenming, Nacho Cat China, Carmen789321","(3072,-64,1520)→(3183,320,1647)[主世界]"
A8DA6FEF146D,[卯月村供销合作社] Doctor的餐厅,"此领地属于 卯月村供销合作社 合作社的公有领地
Doctor的餐厅","ImaoyueI, MarIE7943, Mengyuan7544, kokorochan223, LingYingFox0, DoctorL06, Teaffee4438, Ocean12000, Big chicken8959, RiverLight38454, ZiMo0512, xize2333jun, AbsurdCase40986, xiakenana, Cattle99, Luoxiyilian2313, FangZhuBingMing, siri9V4458, Stone5koishi, LeaveSharkCat, palladio6674, GenunineColt568, JiuSi0414, DaNaiLong KING, Shiroha77, SteelBag8401029, mingzhouNB666, [未知:2535409442693219], ougenduqin, Exusiai5871, SolidComb522181, Stone9328, Carmen789321, TanMongR233","(3722,67,-634)→(3741,76,-618)[主世界]"
921180CA7DAF,烈焰人刷怪笼,,,"(654,59,222)→(655,60,224)[下界]"
DAEB2D907A8E,[星之猫猫商业圈] 合作社 东北农业基地,[星之猫猫商业圈] 合作社 东北农业基地,StarFaith2007,"(3004,83,-2073)→(3027,98,-2037)[主世界]"
3E04149F9C4E,幽幽子/阿求家的锚点,,,"(-915,66,418)→(-911,69,423)[主世界]"
9890C1D80DDB,末地,,htdl19083669,"(-2184,14,4057)→(-2182,15,4059)[主世界]"
98ABE2FD10FA,,,,"(86,-64,-109)→(117,320,-76)[主世界]"
5B0CA3019E3E,蜘蛛刷怪笼,,[未知:2535462613164805],"(2998,24,4890)→(2999,25,4891)[主世界]"
12EBD0233CC4,[MyGO!!!!!] 抽奖机,"此领地属于 MyGO!!!!! 合作社的公有领地
抽奖机",,"(-352,-64,1312)→(-305,320,1359)[主世界]"
1EDA25D6011E,小野冢町 一丁目 一番,,"Stone5koishi, DoctorL06, [未知:2535409442693219], AntimatterCorp, ImaoyueI, ShiftedChara449, dfgzaomiao, Qiyushishuji","(-3712,60,-1656)→(-3686,83,-1629)[主世界]"
1740FBC784F2,,,,"(2846,-64,4500)→(2902,320,4569)[主世界]"
0BAAEA8E591B,,,[未知:2535439758822880],"(5249,-47,-7343)→(5260,-35,-7330)[主世界]"
64DC09112ACB,,,,"(-2883,-64,1487)→(-2882,320,1501)[主世界]"
E1AAB12BA38A,建房和刷怪的好地方,,,"(1053,-64,1183)→(1065,320,1201)[主世界]"
ACCDC22CF9D8,村民交易,,,"(2128,-64,4576)→(2139,320,4591)[主世界]"
62FB591A414C,[玫瑰岛共和国] 合作社 南方的无名小岛-东北,[玫瑰岛共和国] 合作社 南方的无名小岛-东北,"SayojiKoishi, wtouou, TabooAttic15546, mih00him","(-207,-64,1564)→(-107,320,1664)[主世界]"
DE55FE75B035,,,,"(800,-64,4016)→(959,320,4175)[主世界]"
169510904665,古书馆路,,,"(-219,-64,247)→(-58,320,337)[主世界]"
453D8DF91945,,,"Nacho Cat China, [未知:2535409442693219]","(3869,-15,3013)→(3873,-10,3017)[主世界]"
66C1688BB11B,[永远亭] 合作社 临时基地,[永远亭] 合作社 临时基地,,"(4441,-64,4640)→(4449,320,4652)[主世界]"
E66652B8A120,[Ultroveritas中央委员会] 西行镇东部枢纽通道,"此领地属于 Ultroveritas中央委员会 合作社的公有领地
西行镇东部枢纽通道","Qiyushishuji, Heinrich4084, Syndikaze, TohoYouyouMu, ForeverZzz2408","(-496,53,77)→(-409,86,91)[主世界]"
56B7E06BF0B0,小野冢町 一丁目 三番,,"ImaoyueI, [未知:2535409442693219], Qiyushishuji, AntimatterCorp, TohoYouyouMu, CommetWind, ShiftedChara449, DoctorL06, Stone5koishi, Heinrich4084, dfgzaomiao","(-3711,63,-1670)→(-3702,74,-1657)[主世界]"
577248303F10,末地,,,"(65,57,-20)→(71,60,-14)[末地]"
5B5C00CAD246,温馨雪屋,,ImaoyueI,"(3721,-64,-700)→(3741,320,-679)[主世界]"
771A82BC235A,FUMOFUMO521的家,,,"(3008,77,-2113)→(3029,84,-2094)[主世界]"
b9991b66-c456-49a0-9041-d2ce2f88ac90,狐桑的小窝,,,"(3421,-64,2258)→(3434,320,2268)[主世界]"
A635F3E1A27B,yi,,,"(3657,50,3183)→(3679,60,3198)[主世界]"
A8064A2EBD4A,,,,"(-1224,63,4220)→(-1222,64,4221)[末地]"
50290D7206FC,[卯月村供销合作社] 蜘蛛刷怪笼,"此领地属于 卯月村供销合作社 合作社的公有领地
蜘蛛刷怪笼","ImaoyueI, MarIE7943, Mengyuan7544, kokorochan223, LingYingFox0, DoctorL06, Teaffee4438, Ocean12000, Big chicken8959, RiverLight38454, ZiMo0512, xize2333jun, AbsurdCase40986, xiakenana, Cattle99, Luoxiyilian2313, FangZhuBingMing, siri9V4458, Stone5koishi, LeaveSharkCat, palladio6674, GenunineColt568, JiuSi0414, DaNaiLong KING, Shiroha77, SteelBag8401029, mingzhouNB666, Exusiai5871, SolidComb522181, Stone9328, Carmen789321, TanMongR233","(-44,-4,174)→(-37,2,180)[主世界]"
FC2E7C5ED4B8,[卯月村供销合作社] 烈焰人,"此领地属于 卯月村供销合作社 合作社的公有领地
烈焰人","Luoxiyilian2313, DoctorL06, [未知:2535411716292234], ImaoyueI, MarIE7943, Mengyuan7544, kokorochan223, LingYingFox0, Teaffee4438, Ocean12000, Big chicken8959, RiverLight38454, ZiMo0512, xize2333jun, AbsurdCase40986, xiakenana, Cattle99, FangZhuBingMing, siri9V4458, Stone5koishi, LeaveSharkCat, palladio6674, GenunineColt568, JiuSi0414, DaNaiLong KING, Shiroha77, SteelBag8401029, mingzhouNB666, Exusiai5871, SolidComb522181, Stone9328, Carmen789321, TanMongR233","(-136,52,195)→(-130,57,201)[下界]"
A1CC0F6087E7,末地中转站04,,,"(26272,136,24116)→(26275,139,24122)[末地]"
75FDF1DFF0E1,西行州 东樱街道,,"dfgzaomiao, LacyBarley63167, ALEX57152, Heinrich4084, haaamburger1996, [未知:2535453287059857], ForeverZzz2408, HansarDeus, [未知:2535458075746856], Evan52661314, xiaoyuan129, GeeGBot, Liqiu36, RiverLight38454","(-442,64,28)→(-416,106,76)[主世界]"
56633567-884c-4f3b-b0b8-7e98ffab7041,[体育部] ZeroZone,"此领地属于 体育部 合作社的公有领地
ZeroZone",[未知:2535451244239520],"(3475,-64,2699)→(3502,320,2753)[主世界]"
386A390FDD6C,,,,"(3429,-64,2691)→(3429,320,2730)[主世界]"
52C262A3126E,,,[未知:2535409442693219],"(0,-64,4176)→(159,320,4335)[主世界]"
7F419FC13515,街道的钟塔,"此领地属于 便利屋68 合作社的公有领地
街道的钟塔",,"(3354,-64,2760)→(3373,320,2779)[主世界]"
64C95C118F97, 水晶,,,"(-8144,22,5653)→(-8143,25,5654)[主世界]"
6A559F4146A1,哆啦A梦,,,"(3492,-64,2691)→(3522,320,2693)[主世界]"
9B22F847FDF5,,,,"(640,-64,4336)→(799,320,4495)[主世界]"
7086054EB36C,防空塔,,,"(4143,64,-1055)→(4145,65,-1053)[主世界]"
81BD47FAF252,毒蜘蛛刷怪笼,,,"(2205,-64,-6911)→(2207,320,-6909)[主世界]"
E19818D8C54D,熔炉,,,"(2079,-64,4600)→(2094,320,4610)[主世界]"
05E835CCD4C0,家1,,,"(3630,-64,-3036)→(3677,320,-2989)[主世界]"
a0e3dd16-3449-48ee-bc09-7651060229b7,???,,,"(3577,-64,2759)→(3606,320,2777)[主世界]"
CC110DE17D93,,,,"(5839,82,-5635)→(5856,90,-5618)[主世界]"
5EEB41647109,[樱树乡] 合作社 6,[樱树乡] 合作社 6,"[未知:2535439539737216], mengyaochenming, Nacho Cat China, Carmen789321","(2928,-64,1824)→(3007,320,1871)[主世界]"
A239D72C3559,地狱,,,"(420,42,181)→(423,45,182)[下界]"
C767ED98E0D2,东樱村 秋山温泉度假会馆,[西行人民委员会] [西行人民委员会] [Ultroveritas中央委员会] 东樱村 南部,"Qiyushishuji, Heinrich4084, Syndikaze, TohoYouyouMu, ForeverZzz2408, LacyBarley63167, dfgzaomiao, HansarDeus, [未知:2535408954461570], ALEX57152, haaamburger1996, GeeGBot, DoctorL06, Liqiu36, ShiftedChara449, RiverLight38454","(-415,37,57)→(-268,140,76)[主世界]"
A4FB48BA1CAF,地狱交通,,htdl19083669,"(434,100,345)→(435,101,346)[下界]"
4CE4B02CC787,末地中转站02,,,"(13877,112,13632)→(13883,115,13639)[末地]"
7A446A9D294A,[樱树乡] 合作社 17,[樱树乡] 合作社 17,"[未知:2535439539737216], mengyaochenming, Nacho Cat China, Carmen789321","(3056,-64,1520)→(3071,320,1647)[主世界]"
35922C4A4F9F,幽守，空间小需改造,,,"(-5003,-50,5313)→(-4991,-38,5319)[主世界]"
64A7AF9769C0,,,,"(5430,40,-677)→(5432,41,-676)[下界]"
343FFA51E360,我要摆烂！,摆烂！！,[未知:2535460817074170],"(2212,-64,-13)→(2242,320,19)[主世界]"
9209B10A8134,僵尸刷怪笼,,,"(2226,-64,-6885)→(2228,320,-6883)[主世界]"
7bbd30df-c944-4af0-b49b-71cf53278201,厨房重地,,,"(-1284,66,-1920)→(-1278,70,-1913)[主世界]"
FFAA1497F549,岩浆湖,,,"(495,35,383)→(500,38,388)[下界]"
6F5072205053,[卯月村供销合作社] 沙漠,"此领地属于 卯月村供销合作社 合作社的公有领地
沙漠","MarIE7943, ZiMo0512, ImaoyueI, Mengyuan7544, kokorochan223, LingYingFox0, DoctorL06, Teaffee4438, Ocean12000, Big chicken8959, RiverLight38454, xize2333jun, AbsurdCase40986, xiakenana, Cattle99, Luoxiyilian2313, FangZhuBingMing, siri9V4458, Stone5koishi, LeaveSharkCat, palladio6674, GenunineColt568, JiuSi0414, DaNaiLong KING, Shiroha77, SteelBag8401029, mingzhouNB666, Exusiai5871, SolidComb522181, Stone9328, Carmen789321, TanMongR233","(183,66,-3240)→(184,67,-3239)[主世界]"
54D8F4F2CF7E,工地,,,"(1119,-64,-655)→(1153,320,-621)[主世界]"
